state,poverty,hs_grad,home_own,median_income,party_maj
Alabama,19.90746269,76.78208955,73.38656716,36962.9403,Rep
Alaska,12.29310345,86.59310345,63.22758621,59351.03448,Rep
Arizona,19.03333333,81.82,69.65333333,42417.93333,Rep
Arkansas,20.00533333,78.864,71.23066667,34982.70667,Rep
California,14.22068966,82.45862069,63.26724138,55265.72414,Dem
Colorado,12.8609375,88.1390625,72.1453125,50135.84375,Dem
Connecticut,8.3125,89.1,71.7375,68935.125,Dem
Delaware,11.5,86.16666667,74.73333333,55567.66667,Dem
District of Columbia,18.5,86.5,43.5,58526,Dem
Florida,15.99850746,82.22686567,74.60746269,44268.59701,Rep
Georgia,19.78238994,77.17295597,70.79056604,40203.27673,Rep
Hawaii,9,87.42,49.52,58683,Dem
Idaho,14.52727273,85.72272727,73.58636364,42705.95455,Rep
Illinois,12.94019608,86.34411765,76.03431373,47184.95098,Dem
Indiana,12.58804348,84.95869565,76.48913043,47020.15217,Rep
Iowa,11.06262626,88.9989899,76.43535354,46437.29293,Rep
Kansas,12.30666667,87.7847619,74.65904762,43568.13333,Rep
Kentucky,20.54083333,75.73666667,74.30166667,37080.83333,Rep
Louisiana,20.0609375,77.1265625,72.11875,40327.53125,Rep
Maine,13.6375,88.98125,75.41875,43919.6875,Dem
Maryland,9.304166667,87.09166667,73.4125,66792.20833,Dem
Massachusetts,10.50714286,89.64285714,67.89285714,62828.64286,Dem
Michigan,15.09759036,87.49156627,79.56024096,43327.86747,Rep
Minnesota,10.9,88.99885057,78.69195402,49752.11494,Dem
Mississippi,24.38902439,75.95487805,73.25121951,33633.41463,Rep
Missouri,16.21130435,82.4826087,73.6373913,39687.81739,Rep
Montana,15.14285714,88.46071429,71.83392857,40997.30357,Rep
Nebraska,11.89784946,89.67311828,73.94731183,43040.88172,Rep
Nevada,12.34705882,84.78235294,70.92352941,53114.58824,Dem
New Hampshire,9.14,90.03,73.18,56991.9,Dem
New Jersey,8.861904762,87.42857143,70.36666667,70629.90476,Dem
New Mexico,19.35151515,81.63636364,74.03939394,39961.72727,Dem
New York,12.93548387,86.86129032,69.36129032,52288.3871,Dem
North Carolina,17.582,80.282,72.039,40848.01,Rep
North Dakota,12.33773585,85.98867925,75.48301887,43962.69811,Rep
Ohio,13.93295455,85.86590909,74.29772727,46039.88636,Rep
Oklahoma,17.03506494,82.73246753,73.25714286,40144.96104,Rep
Oregon,15.075,87.58611111,67.65,44295.47222,Dem
Pennsylvania,12.3,86.64776119,74.72835821,46663.61194,Rep
Rhode Island,8.9,87.54,68.22,63089,Dem
South Carolina,19.98478261,79.04782609,71.67173913,38534.8913,Rep
South Dakota,16.19242424,86.23181818,71.25,41925.34848,Rep
Tennessee,18.27157895,77.42736842,74.59473684,38490.43158,Rep
Texas,17.23228346,77.33188976,73.08740157,43399.47244,Rep
Utah,11.43793103,89.73448276,75.96551724,51135.13793,Rep
Vermont,11.40714286,89.67142857,74.06428571,49930.92857,Dem
Virginia,13.43955224,81.01567164,71.59253731,51188.73881,Dem
Washington,15.14615385,87.33846154,69.03846154,47362.58974,Dem
West Virginia,18.43272727,79.75818182,76.94363636,35986.25455,Rep
Wisconsin,11.69166667,88.71805556,75.3375,48199.48611,Rep
Wyoming,9.434782609,91.14782609,70.96086957,53121.73913,Rep
